Player,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Venue,Start Date
Mohammed Shami,Kings XI Punjab,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Mohali,13-Apr-19
R Ashwin,Kings XI Punjab,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Mohali,13-Apr-19
M Ashwin,Kings XI Punjab,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Mohali,13-Apr-19
AJ Tye,Kings XI Punjab,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Mohali,13-Apr-19
N Pooran,Kings XI Punjab,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Mohali,13-Apr-19
PA Patel,Royal Challengers Bangalore,Kings XI Punjab,19,0,15,9,4,0,211.11,2,Mohali,13-Apr-19
V Kohli,Royal Challengers Bangalore,Kings XI Punjab,67,0,73,53,8,0,126.41,2,Mohali,13-Apr-19
AB de Villiers,Royal Challengers Bangalore,Kings XI Punjab,59,1,81,38,5,2,155.26,2,Mohali,13-Apr-19
MP Stoinis,Royal Challengers Bangalore,Kings XI Punjab,28,1,23,16,4,0,175,2,Mohali,13-Apr-19
P Negi,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
Mohammed Siraj,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
UT Yadav,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
MM Ali,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
NA Saini,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
AD Nath,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
YS Chahal,Royal Challengers Bangalore,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Mohali,13-Apr-19
RG Sharma,Mumbai Indians,Rajasthan Royals,47,0,47,32,6,1,146.87,1,Wankhede,13-Apr-19
Q de Kock,Mumbai Indians,Rajasthan Royals,81,0,87,52,6,4,155.76,1,Wankhede,13-Apr-19
SA Yadav,Mumbai Indians,Rajasthan Royals,16,0,15,10,0,1,160,1,Wankhede,13-Apr-19
KA Pollard,Mumbai Indians,Rajasthan Royals,6,0,15,12,0,0,50,1,Wankhede,13-Apr-19
HH Pandya,Mumbai Indians,Rajasthan Royals,28,1,21,11,1,3,254.54,1,Wankhede,13-Apr-19
Ishan Kishan,Mumbai Indians,Rajasthan Royals,5,0,5,3,1,0,166.66,1,Wankhede,13-Apr-19
KH Pandya,Mumbai Indians,Rajasthan Royals,0,1,5,0,0,0,-,1,Wankhede,13-Apr-19
AS Joseph,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Wankhede,13-Apr-19
JP Behrendorff,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Wankhede,13-Apr-19
RD Chahar,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Wankhede,13-Apr-19
JJ Bumrah,Mumbai Indians,Rajasthan Royals,DNB,0,-,-,-,-,-,1,Wankhede,13-Apr-19
AM Rahane,Rajasthan Royals,Mumbai Indians,37,0,34,21,6,1,176.19,2,Wankhede,13-Apr-19
JC Buttler,Rajasthan Royals,Mumbai Indians,89,0,64,43,8,7,206.97,2,Wankhede,13-Apr-19
SV Samson,Rajasthan Royals,Mumbai Indians,31,0,48,26,2,1,119.23,2,Wankhede,13-Apr-19
SPD Smith,Rajasthan Royals,Mumbai Indians,12,0,27,15,1,0,80,2,Wankhede,13-Apr-19
RA Tripathi,Rajasthan Royals,Mumbai Indians,1,0,4,2,0,0,50,2,Wankhede,13-Apr-19
LS Livingstone,Rajasthan Royals,Mumbai Indians,1,0,4,2,0,0,50,2,Wankhede,13-Apr-19
S Gopal,Rajasthan Royals,Mumbai Indians,13,1,12,7,2,0,185.71,2,Wankhede,13-Apr-19
K Gowtham,Rajasthan Royals,Mumbai Indians,0,1,10,1,0,0,0,2,Wankhede,13-Apr-19
DS Kulkarni,Rajasthan Royals,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,13-Apr-19
JC Archer,Rajasthan Royals,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,13-Apr-19
JD Unadkat,Rajasthan Royals,Mumbai Indians,DNB,0,-,-,-,-,-,2,Wankhede,13-Apr-19
JL Denly,Kolkata Knight Riders,Delhi Capitals,0,0,1,1,0,0,0,1,Kolkata,12-Apr-19
Shubman Gill,Kolkata Knight Riders,Delhi Capitals,65,0,70,39,7,2,166.66,1,Kolkata,12-Apr-19
RV Uthappa,Kolkata Knight Riders,Delhi Capitals,28,0,38,30,4,1,93.33,1,Kolkata,12-Apr-19
N Rana,Kolkata Knight Riders,Delhi Capitals,11,0,21,12,0,1,91.66,1,Kolkata,12-Apr-19
AD Russell,Kolkata Knight Riders,Delhi Capitals,45,0,34,21,3,4,214.28,1,Kolkata,12-Apr-19
KD Karthik,Kolkata Knight Riders,Delhi Capitals,2,0,6,3,0,0,66.66,1,Kolkata,12-Apr-19
CR Brathwaite,Kolkata Knight Riders,Delhi Capitals,6,0,23,7,0,0,85.71,1,Kolkata,12-Apr-19
PP Chawla,Kolkata Knight Riders,Delhi Capitals,14,1,9,6,2,0,233.33,1,Kolkata,12-Apr-19
Kuldeep Yadav,Kolkata Knight Riders,Delhi Capitals,2,1,3,2,0,0,100,1,Kolkata,12-Apr-19
LH Ferguson,Kolkata Knight Riders,Delhi Capitals,DNB,0,-,-,-,-,-,1,Kolkata,12-Apr-19
M Prasidh Krishna,Kolkata Knight Riders,Delhi Capitals,DNB,0,-,-,-,-,-,1,Kolkata,12-Apr-19
PP Shaw,Delhi Capitals,Kolkata Knight Riders,14,0,17,7,0,2,200,2,Kolkata,12-Apr-19
S Dhawan,Delhi Capitals,Kolkata Knight Riders,97,1,98,63,11,2,153.96,2,Kolkata,12-Apr-19
SS Iyer,Delhi Capitals,Kolkata Knight Riders,6,0,13,6,1,0,100,2,Kolkata,12-Apr-19
RR Pant,Delhi Capitals,Kolkata Knight Riders,46,0,59,31,4,2,148.38,2,Kolkata,12-Apr-19
CA Ingram,Delhi Capitals,Kolkata Knight Riders,14,1,8,6,1,1,233.33,2,Kolkata,12-Apr-19
K Rabada,Delhi Capitals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,12-Apr-19
KMA Paul,Delhi Capitals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,12-Apr-19
CH Morris,Delhi Capitals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,12-Apr-19
I Sharma,Delhi Capitals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,12-Apr-19
R Tewatia,Delhi Capitals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,12-Apr-19
AR Patel,Delhi Capitals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Kolkata,12-Apr-19
AM Rahane,Rajasthan Royals,Chennai Super Kings,14,0,16,11,3,0,127.27,1,Jaipur,11-Apr-19
JC Buttler,Rajasthan Royals,Chennai Super Kings,23,0,20,10,4,1,230,1,Jaipur,11-Apr-19
SV Samson,Rajasthan Royals,Chennai Super Kings,6,0,14,6,1,0,100,1,Jaipur,11-Apr-19
SPD Smith,Rajasthan Royals,Chennai Super Kings,15,0,30,22,1,0,68.18,1,Jaipur,11-Apr-19
RA Tripathi,Rajasthan Royals,Chennai Super Kings,10,0,14,12,1,0,83.33,1,Jaipur,11-Apr-19
BA Stokes,Rajasthan Royals,Chennai Super Kings,28,0,40,26,1,0,107.69,1,Jaipur,11-Apr-19
R Parag,Rajasthan Royals,Chennai Super Kings,16,0,18,14,2,0,114.28,1,Jaipur,11-Apr-19
JC Archer,Rajasthan Royals,Chennai Super Kings,13,1,23,12,1,0,108.33,1,Jaipur,11-Apr-19
S Gopal,Rajasthan Royals,Chennai Super Kings,19,1,7,7,2,1,271.42,1,Jaipur,11-Apr-19
DS Kulkarni,Rajasthan Royals,Chennai Super Kings,DNB,0,-,-,-,-,-,1,Jaipur,11-Apr-19
JD Unadkat,Rajasthan Royals,Chennai Super Kings,DNB,0,-,-,-,-,-,1,Jaipur,11-Apr-19
SR Watson,Chennai Super Kings,Rajasthan Royals,0,0,3,4,0,0,0,2,Jaipur,11-Apr-19
F du Plessis,Chennai Super Kings,Rajasthan Royals,7,0,22,10,0,0,70,2,Jaipur,11-Apr-19
SK Raina,Chennai Super Kings,Rajasthan Royals,4,0,7,4,1,0,100,2,Jaipur,11-Apr-19
AT Rayudu,Chennai Super Kings,Rajasthan Royals,57,0,85,47,2,3,121.27,2,Jaipur,11-Apr-19
KM Jadhav,Chennai Super Kings,Rajasthan Royals,1,0,9,6,0,0,16.66,2,Jaipur,11-Apr-19
MS Dhoni,Chennai Super Kings,Rajasthan Royals,58,0,76,43,2,3,134.88,2,Jaipur,11-Apr-19
RA Jadeja,Chennai Super Kings,Rajasthan Royals,9,1,21,4,0,1,225,2,Jaipur,11-Apr-19
MJ Santner,Chennai Super Kings,Rajasthan Royals,10,1,7,3,0,1,333.33,2,Jaipur,11-Apr-19
SN Thakur,Chennai Super Kings,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,11-Apr-19
Imran Tahir,Chennai Super Kings,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,11-Apr-19
DL Chahar,Chennai Super Kings,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,11-Apr-19
KL Rahul,Kings XI Punjab,Mumbai Indians,100,1,110,64,6,6,156.25,1,Wankhede,10-Apr-19
CH Gayle,Kings XI Punjab,Mumbai Indians,63,0,70,36,3,7,175,1,Wankhede,10-Apr-19
DA Miller,Kings XI Punjab,Mumbai Indians,7,0,14,8,1,0,87.5,1,Wankhede,10-Apr-19
KK Nair,Kings XI Punjab,Mumbai Indians,5,0,9,6,0,0,83.33,1,Wankhede,10-Apr-19
SM Curran,Kings XI Punjab,Mumbai Indians,8,0,5,3,2,0,266.66,1,Wankhede,10-Apr-19
Mandeep Singh,Kings XI Punjab,Mumbai Indians,7,1,13,3,1,0,233.33,1,Wankhede,10-Apr-19
GC Viljoen,Kings XI Punjab,Mumbai Indians,DNB,0,-,-,-,-,-,1,Wankhede,10-Apr-19
Mohammed Shami,Kings XI Punjab,Mumbai Indians,DNB,0,-,-,-,-,-,1,Wankhede,10-Apr-19
R Ashwin,Kings XI Punjab,Mumbai Indians,DNB,0,-,-,-,-,-,1,Wankhede,10-Apr-19
SN Khan,Kings XI Punjab,Mumbai Indians,DNB,0,-,-,-,-,-,1,Wankhede,10-Apr-19
AS Rajpoot,Kings XI Punjab,Mumbai Indians,DNB,0,-,-,-,-,-,1,Wankhede,10-Apr-19
Q de Kock,Mumbai Indians,Kings XI Punjab,24,0,46,23,2,0,104.34,2,Wankhede,10-Apr-19
SD Lad,Mumbai Indians,Kings XI Punjab,15,0,19,13,1,1,115.38,2,Wankhede,10-Apr-19
SA Yadav,Mumbai Indians,Kings XI Punjab,21,0,22,15,4,0,140,2,Wankhede,10-Apr-19
KA Pollard,Mumbai Indians,Kings XI Punjab,83,0,81,31,3,10,267.74,2,Wankhede,10-Apr-19
Ishan Kishan,Mumbai Indians,Kings XI Punjab,7,0,18,10,1,0,70,2,Wankhede,10-Apr-19
HH Pandya,Mumbai Indians,Kings XI Punjab,19,0,20,13,2,0,146.15,2,Wankhede,10-Apr-19
KH Pandya,Mumbai Indians,Kings XI Punjab,1,0,6,2,0,0,50,2,Wankhede,10-Apr-19
AS Joseph,Mumbai Indians,Kings XI Punjab,15,1,32,13,2,0,115.38,2,Wankhede,10-Apr-19
RD Chahar,Mumbai Indians,Kings XI Punjab,1,1,5,1,0,0,100,2,Wankhede,10-Apr-19
JP Behrendorff,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Wankhede,10-Apr-19
JJ Bumrah,Mumbai Indians,Kings XI Punjab,DNB,0,-,-,-,-,-,2,Wankhede,10-Apr-19
CA Lynn,Kolkata Knight Riders,Chennai Super Kings,0,0,6,5,0,0,0,1,Chennai,9-Apr-19
SP Narine,Kolkata Knight Riders,Chennai Super Kings,6,0,10,5,0,0,120,1,Chennai,9-Apr-19
RV Uthappa,Kolkata Knight Riders,Chennai Super Kings,11,0,18,9,2,0,122.22,1,Chennai,9-Apr-19
N Rana,Kolkata Knight Riders,Chennai Super Kings,0,0,5,3,0,0,0,1,Chennai,9-Apr-19
KD Karthik,Kolkata Knight Riders,Chennai Super Kings,19,0,27,21,3,0,90.47,1,Chennai,9-Apr-19
Shubman Gill,Kolkata Knight Riders,Chennai Super Kings,9,0,24,12,0,0,75,1,Chennai,9-Apr-19
AD Russell,Kolkata Knight Riders,Chennai Super Kings,50,1,59,44,5,3,113.63,1,Chennai,9-Apr-19
PP Chawla,Kolkata Knight Riders,Chennai Super Kings,8,0,25,13,0,1,61.53,1,Chennai,9-Apr-19
Kuldeep Yadav,Kolkata Knight Riders,Chennai Super Kings,0,0,2,1,0,0,0,1,Chennai,9-Apr-19
M Prasidh Krishna,Kolkata Knight Riders,Chennai Super Kings,0,0,5,2,0,0,0,1,Chennai,9-Apr-19
HF Gurney,Kolkata Knight Riders,Chennai Super Kings,1,1,22,5,0,0,20,1,Chennai,9-Apr-19
SR Watson,Chennai Super Kings,Kolkata Knight Riders,17,0,10,9,2,1,188.88,2,Chennai,9-Apr-19
F du Plessis,Chennai Super Kings,Kolkata Knight Riders,43,1,89,45,3,0,95.55,2,Chennai,9-Apr-19
SK Raina,Chennai Super Kings,Kolkata Knight Riders,14,0,13,13,1,1,107.69,2,Chennai,9-Apr-19
AT Rayudu,Chennai Super Kings,Kolkata Knight Riders,21,0,49,31,2,0,67.74,2,Chennai,9-Apr-19
KM Jadhav,Chennai Super Kings,Kolkata Knight Riders,8,1,16,8,1,0,100,2,Chennai,9-Apr-19
MS Dhoni,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Chennai,9-Apr-19
SC Kuggeleijn,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Chennai,9-Apr-19
RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Chennai,9-Apr-19
Harbhajan Singh,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Chennai,9-Apr-19
DL Chahar,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Chennai,9-Apr-19
Imran Tahir,Chennai Super Kings,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Chennai,9-Apr-19
DA Warner,Sunrisers Hyderabad,Kings XI Punjab,70,1,103,62,6,1,112.9,1,Mohali,8-Apr-19
JM Bairstow,Sunrisers Hyderabad,Kings XI Punjab,1,0,10,6,0,0,16.66,1,Mohali,8-Apr-19
V Shankar,Sunrisers Hyderabad,Kings XI Punjab,26,0,43,27,2,0,96.29,1,Mohali,8-Apr-19
Mohammad Nabi,Sunrisers Hyderabad,Kings XI Punjab,12,0,13,7,0,0,171.42,1,Mohali,8-Apr-19
MK Pandey,Sunrisers Hyderabad,Kings XI Punjab,19,0,31,15,2,0,126.66,1,Mohali,8-Apr-19
DJ Hooda,Sunrisers Hyderabad,Kings XI Punjab,14,1,4,3,2,1,466.66,1,Mohali,8-Apr-19
Rashid Khan,Sunrisers Hyderabad,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Mohali,8-Apr-19
S Kaul,Sunrisers Hyderabad,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Mohali,8-Apr-19
B Kumar,Sunrisers Hyderabad,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Mohali,8-Apr-19
Sandeep Sharma,Sunrisers Hyderabad,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Mohali,8-Apr-19
YK Pathan,Sunrisers Hyderabad,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Mohali,8-Apr-19
KL Rahul,Kings XI Punjab,Sunrisers Hyderabad,71,1,102,53,7,1,133.96,2,Mohali,8-Apr-19
CH Gayle,Kings XI Punjab,Sunrisers Hyderabad,16,0,14,14,1,1,114.28,2,Mohali,8-Apr-19
MA Agarwal,Kings XI Punjab,Sunrisers Hyderabad,55,0,69,43,3,3,127.9,2,Mohali,8-Apr-19
DA Miller,Kings XI Punjab,Sunrisers Hyderabad,1,0,4,3,0,0,33.33,2,Mohali,8-Apr-19
Mandeep Singh,Kings XI Punjab,Sunrisers Hyderabad,2,0,5,3,0,0,66.66,2,Mohali,8-Apr-19
SM Curran,Kings XI Punjab,Sunrisers Hyderabad,5,1,6,3,0,0,166.66,2,Mohali,8-Apr-19
Mohammed Shami,Kings XI Punjab,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Mohali,8-Apr-19
AS Rajpoot,Kings XI Punjab,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Mohali,8-Apr-19
R Ashwin,Kings XI Punjab,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Mohali,8-Apr-19
Mujeeb Ur Rahman,Kings XI Punjab,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Mohali,8-Apr-19
SN Khan,Kings XI Punjab,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,2,Mohali,8-Apr-19
AM Rahane,Rajasthan Royals,Kolkata Knight Riders,5,0,8,7,1,0,71.42,1,Jaipur,7-Apr-19
JC Buttler,Rajasthan Royals,Kolkata Knight Riders,37,0,53,34,5,1,108.82,1,Jaipur,7-Apr-19
SPD Smith,Rajasthan Royals,Kolkata Knight Riders,73,1,88,59,7,1,123.72,1,Jaipur,7-Apr-19
RA Tripathi,Rajasthan Royals,Kolkata Knight Riders,6,0,19,8,0,0,75,1,Jaipur,7-Apr-19
BA Stokes,Rajasthan Royals,Kolkata Knight Riders,7,1,23,14,0,0,50,1,Jaipur,7-Apr-19
DS Kulkarni,Rajasthan Royals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Jaipur,7-Apr-19
S Midhun,Rajasthan Royals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Jaipur,7-Apr-19
K Gowtham,Rajasthan Royals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Jaipur,7-Apr-19
JC Archer,Rajasthan Royals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Jaipur,7-Apr-19
P Chopra,Rajasthan Royals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Jaipur,7-Apr-19
S Gopal,Rajasthan Royals,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Jaipur,7-Apr-19
CA Lynn,Kolkata Knight Riders,Rajasthan Royals,50,0,49,32,6,3,156.25,2,Jaipur,7-Apr-19
SP Narine,Kolkata Knight Riders,Rajasthan Royals,47,0,39,25,6,3,188,2,Jaipur,7-Apr-19
RV Uthappa,Kolkata Knight Riders,Rajasthan Royals,26,1,22,16,1,2,162.5,2,Jaipur,7-Apr-19
Shubman Gill,Kolkata Knight Riders,Rajasthan Royals,6,1,12,10,0,0,60,2,Jaipur,7-Apr-19
Kuldeep Yadav,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
PP Chawla,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
HF Gurney,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
N Rana,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
KD Karthik,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
AD Russell,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
M Prasidh Krishna,Kolkata Knight Riders,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Jaipur,7-Apr-19
PA Patel,Royal Challengers Bangalore,Delhi Capitals,9,0,13,9,1,0,100,1,Bengaluru,7-Apr-19
V Kohli,Royal Challengers Bangalore,Delhi Capitals,41,0,84,33,1,2,124.24,1,Bengaluru,7-Apr-19
AB de Villiers,Royal Challengers Bangalore,Delhi Capitals,17,0,20,16,1,1,106.25,1,Bengaluru,7-Apr-19
MP Stoinis,Royal Challengers Bangalore,Delhi Capitals,15,0,20,17,0,1,88.23,1,Bengaluru,7-Apr-19
MM Ali,Royal Challengers Bangalore,Delhi Capitals,32,0,18,18,1,3,177.77,1,Bengaluru,7-Apr-19
AD Nath,Royal Challengers Bangalore,Delhi Capitals,19,0,14,12,4,0,158.33,1,Bengaluru,7-Apr-19
P Negi,Royal Challengers Bangalore,Delhi Capitals,0,0,5,1,0,0,0,1,Bengaluru,7-Apr-19
TG Southee,Royal Challengers Bangalore,Delhi Capitals,9,1,13,9,0,0,100,1,Bengaluru,7-Apr-19
Mohammed Siraj,Royal Challengers Bangalore,Delhi Capitals,1,0,7,5,0,0,20,1,Bengaluru,7-Apr-19
YS Chahal,Royal Challengers Bangalore,Delhi Capitals,1,1,4,1,0,0,100,1,Bengaluru,7-Apr-19
NA Saini,Royal Challengers Bangalore,Delhi Capitals,DNB,0,-,-,-,-,-,1,Bengaluru,7-Apr-19
PP Shaw,Delhi Capitals,Royal Challengers Bangalore,28,0,40,22,5,0,127.27,2,Bengaluru,7-Apr-19
S Dhawan,Delhi Capitals,Royal Challengers Bangalore,0,0,5,1,0,0,0,2,Bengaluru,7-Apr-19
SS Iyer,Delhi Capitals,Royal Challengers Bangalore,67,0,75,50,8,2,134,2,Bengaluru,7-Apr-19
CA Ingram,Delhi Capitals,Royal Challengers Bangalore,22,0,17,21,2,1,104.76,2,Bengaluru,7-Apr-19
RR Pant,Delhi Capitals,Royal Challengers Bangalore,18,0,26,14,2,0,128.57,2,Bengaluru,7-Apr-19
CH Morris,Delhi Capitals,Royal Challengers Bangalore,0,0,4,3,0,0,0,2,Bengaluru,7-Apr-19
AR Patel,Delhi Capitals,Royal Challengers Bangalore,4,1,5,1,1,0,400,2,Bengaluru,7-Apr-19
R Tewatia,Delhi Capitals,Royal Challengers Bangalore,1,1,3,2,0,0,50,2,Bengaluru,7-Apr-19
I Sharma,Delhi Capitals,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,7-Apr-19
K Rabada,Delhi Capitals,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,7-Apr-19
S Lamichhane,Delhi Capitals,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,2,Bengaluru,7-Apr-19
RG Sharma,Mumbai Indians,Sunrisers Hyderabad,11,0,20,14,0,1,78.57,1,Hyderabad (Deccan),6-Apr-19
Q de Kock,Mumbai Indians,Sunrisers Hyderabad,19,0,42,18,1,1,105.55,1,Hyderabad (Deccan),6-Apr-19
SA Yadav,Mumbai Indians,Sunrisers Hyderabad,7,0,10,8,1,0,87.5,1,Hyderabad (Deccan),6-Apr-19
Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,17,0,38,21,2,0,80.95,1,Hyderabad (Deccan),6-Apr-19
KH Pandya,Mumbai Indians,Sunrisers Hyderabad,6,0,15,13,0,0,46.15,1,Hyderabad (Deccan),6-Apr-19
KA Pollard,Mumbai Indians,Sunrisers Hyderabad,46,1,42,26,2,4,176.92,1,Hyderabad (Deccan),6-Apr-19
HH Pandya,Mumbai Indians,Sunrisers Hyderabad,14,0,20,14,0,1,100,1,Hyderabad (Deccan),6-Apr-19
RD Chahar,Mumbai Indians,Sunrisers Hyderabad,10,0,7,7,2,0,142.85,1,Hyderabad (Deccan),6-Apr-19
AS Joseph,Mumbai Indians,Sunrisers Hyderabad,0,1,8,0,0,0,-,1,Hyderabad (Deccan),6-Apr-19
JJ Bumrah,Mumbai Indians,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Hyderabad (Deccan),6-Apr-19
JP Behrendorff,Mumbai Indians,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Hyderabad (Deccan),6-Apr-19
DA Warner,Sunrisers Hyderabad,Mumbai Indians,15,0,22,13,2,0,115.38,2,Hyderabad (Deccan),6-Apr-19
JM Bairstow,Sunrisers Hyderabad,Mumbai Indians,16,0,18,10,3,0,160,2,Hyderabad (Deccan),6-Apr-19
V Shankar,Sunrisers Hyderabad,Mumbai Indians,5,0,15,10,1,0,50,2,Hyderabad (Deccan),6-Apr-19
MK Pandey,Sunrisers Hyderabad,Mumbai Indians,16,0,29,21,0,0,76.19,2,Hyderabad (Deccan),6-Apr-19
DJ Hooda,Sunrisers Hyderabad,Mumbai Indians,20,0,20,24,1,0,83.33,2,Hyderabad (Deccan),6-Apr-19
YK Pathan,Sunrisers Hyderabad,Mumbai Indians,0,0,5,4,0,0,0,2,Hyderabad (Deccan),6-Apr-19
Mohammad Nabi,Sunrisers Hyderabad,Mumbai Indians,11,0,28,14,0,1,78.57,2,Hyderabad (Deccan),6-Apr-19
Rashid Khan,Sunrisers Hyderabad,Mumbai Indians,0,0,4,1,0,0,0,2,Hyderabad (Deccan),6-Apr-19
B Kumar,Sunrisers Hyderabad,Mumbai Indians,2,0,8,6,0,0,33.33,2,Hyderabad (Deccan),6-Apr-19
S Kaul,Sunrisers Hyderabad,Mumbai Indians,0,0,6,1,0,0,0,2,Hyderabad (Deccan),6-Apr-19
Sandeep Sharma,Sunrisers Hyderabad,Mumbai Indians,5,1,3,2,1,0,250,2,Hyderabad (Deccan),6-Apr-19
SR Watson,Chennai Super Kings,Kings XI Punjab,26,0,39,24,3,1,108.33,1,Chennai,6-Apr-19
F du Plessis,Chennai Super Kings,Kings XI Punjab,54,0,65,38,2,4,142.1,1,Chennai,6-Apr-19
SK Raina,Chennai Super Kings,Kings XI Punjab,17,0,28,20,1,0,85,1,Chennai,6-Apr-19
MS Dhoni,Chennai Super Kings,Kings XI Punjab,37,1,39,23,4,1,160.86,1,Chennai,6-Apr-19
AT Rayudu,Chennai Super Kings,Kings XI Punjab,21,1,37,15,1,1,140,1,Chennai,6-Apr-19
KM Jadhav,Chennai Super Kings,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Chennai,6-Apr-19
DL Chahar,Chennai Super Kings,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Chennai,6-Apr-19
Imran Tahir,Chennai Super Kings,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Chennai,6-Apr-19
RA Jadeja,Chennai Super Kings,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Chennai,6-Apr-19
SC Kuggeleijn,Chennai Super Kings,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Chennai,6-Apr-19
Harbhajan Singh,Chennai Super Kings,Kings XI Punjab,DNB,0,-,-,-,-,-,1,Chennai,6-Apr-19
KL Rahul,Kings XI Punjab,Chennai Super Kings,55,0,80,47,3,1,117.02,2,Chennai,6-Apr-19
CH Gayle,Kings XI Punjab,Chennai Super Kings,5,0,10,7,1,0,71.42,2,Chennai,6-Apr-19
MA Agarwal,Kings XI Punjab,Chennai Super Kings,0,0,2,2,0,0,0,2,Chennai,6-Apr-19
SN Khan,Kings XI Punjab,Chennai Super Kings,67,0,84,59,4,2,113.55,2,Chennai,6-Apr-19
DA Miller,Kings XI Punjab,Chennai Super Kings,6,0,13,5,1,0,120,2,Chennai,6-Apr-19
Mandeep Singh,Kings XI Punjab,Chennai Super Kings,1,1,7,1,0,0,100,2,Chennai,6-Apr-19
